class,R_mean,R_xslope,R_yslope,R_texstd,G_mean,G_xslope,G_yslope,G_texstd,B_mean,B_xslope,B_yslope,B_texstd
2,34.432228088378906,-0.43771564960479736,0.8505379557609558,8.055724143981934,26.11256980895996,-0.5057319402694702,8.88294506072998,32.124603271484375,12.171972274780273,1.20795476436615,-1.7877198457717896,24.20726776123047
12,45.562705993652344,13.705187797546387,5.92987585067749,21.517484664916992,27.435970306396484,1.408456802368164,2.1079185009002686,31.886619567871094,29.228666305541992,-1.479335904121399,-3.10221791267395,35.13801193237305
13,51.6815071105957,-9.022421836853027,2.6435632705688477,13.289566040039062,31.02199935913086,4.330785751342773,-7.184617042541504,40.67184066772461,8.331542015075684,0.3584708869457245,-0.7409917712211609,11.110565185546875
14,29.22241973876953,-4.150363445281982,-4.340575218200684,12.643969535827637,22.758394241333008,-0.16591115295886993,-3.7587342262268066,28.50672149658203,8.50420093536377,1.9690707921981812,-2.668299436569214,19.506898880004883
17,62.65928268432617,-8.316459655761719,-1.5866153240203857,23.797510147094727,20.20340919494629,-1.2531661987304688,-0.07448914647102356,24.722278594970703,8.778124809265137,0.96367347240448,0.0357351154088974,15.953699111938477
18,40.221527099609375,-7.999667644500732,4.557702541351318,13.733299255371094,24.808032989501953,-0.7677383422851562,-1.3219420909881592,29.71319580078125,8.75198745727539,1.7315870523452759,-0.5000277161598206,14.433862686157227
19,49.84604263305664,-1.9260685443878174,5.537696361541748,12.853093147277832,24.58993911743164,2.9339284896850586,4.054715633392334,29.83547592163086,7.799543380737305,0.7649293541908264,2.0141780376434326,13.392972946166992
20,47.17195510864258,-3.2814433574676514,0.9674849510192871,15.78453254699707,27.18783187866211,2.6916966438293457,-3.229611873626709,30.815914154052734,8.779102325439453,2.6582608222961426,0.10238949209451675,17.655094146728516
22,31.8546199798584,-0.5768011212348938,2.817809581756592,7.470265865325928,34.71098327636719,-2.391277313232422,-3.2459466457366943,35.28690719604492,10.347525596618652,-1.1598416566848755,1.6368813514709473,13.371652603149414
23,41.170082092285156,-5.8418731689453125,0.26946544647216797,11.944822311401367,31.764732360839844,-3.1785778999328613,-13.874194145202637,32.46485900878906,10.129158020019531,-1.4668408632278442,-0.44371435046195984,12.551040649414062
