class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
85,0.1288691079922753,-90.0,23.5,96.5,0.16973894595245542,-45.0,0.0,142.5,0.2946246086290181,-90.0,0.0,104.5
91,0.03828914027118699,0.0,12.0,77.0,0.15921516231812746,0.0,0.0,169.0,0.19842257188858145,0.0,0.0,169.0
95,0.07284771016020025,-90.0,13.5,91.0,0.27077354313533647,-18.055296885813775,0.0,143.5,0.10563600578758733,-90.0,0.0,165.5
98,0.08724795766260016,0.0,0.0,89.0,0.32039442076196345,0.0,0.0,133.0,0.09233691976263368,0.0,0.0,255.0
101,0.008291898062222518,-90.0,0.0,255.0,0.043839288827352385,33.01895410001731,0.0,248.0,0.00825364941565613,0.0,0.0,255.0
102,0.02346083943145139,0.0,0.0,117.0,0.045402902830488305,-90.0,0.0,219.0,0.02616012995323138,0.0,0.0,109.0
106,0.0207724532547654,0.0,10.0,177.0,0.015307871819634644,0.0,0.0,251.0,0.10330282436119774,0.0,0.0,255.0
119,0.006238558075120441,-90.0,0.0,212.0,0.009633868296577785,-90.0,0.0,239.0,0.061921240562810766,-90.0,0.0,215.0
123,0.013303515509989181,-90.0,2.0,169.0,0.0501711376433826,-90.0,0.0,249.0,0.03143706737293563,-90.0,0.0,176.0
129,0.029364156235831444,-90.0,0.0,127.0,0.011694570424693629,-90.0,0.0,255.0,0.009589209600603789,-90.0,0.0,145.0
131,0.0238669536028372,-90.0,1.5,110.0,0.0249962098812184,-90.0,0.0,193.0,0.23746711434700424,-16.475652437325053,0.0,205.0
133,0.023374908716509324,-90.0,0.0,176.5,0.03127821159952935,0.0,0.0,242.5,0.02510408244958014,0.0,0.0,233.0
134,0.036906759289592674,0.0,19.0,80.0,0.19642222068341011,0.0,0.0,155.0,0.2964718999592114,-90.0,0.0,108.0
142,0.03518279506627833,-45.0,21.0,152.0,0.19263069751380574,-45.0,0.0,185.5,0.07532682040376791,0.0,0.0,111.0
153,0.005067643033562193,-90.0,7.0,255.0,0.01322489941564212,20.670177213260686,0.0,255.0,0.02869422266930197,-90.0,0.0,253.0
158,0.11188092944391553,0.0,32.0,123.0,0.11548476828380028,0.0,0.0,132.0,0.12313369011627733,0.0,0.0,28.0
160,0.08622275633089217,-45.0,0.0,105.0,0.08287795351306575,0.0,0.0,125.5,0.1125806384501741,-18.63484744628208,0.0,138.0
162,0.02955662515068999,0.0,17.0,105.0,0.07772802168074147,0.0,0.0,200.0,0.017833859628092807,0.0,0.0,172.0
163,0.11196379412561265,0.0,11.0,177.0,0.03236216809928732,0.0,0.0,146.0,0.21458909702158852,-90.0,0.0,203.0
164,0.018673264360937775,-90.0,10.0,102.0,0.06312724813841271,54.274247858912815,0.0,180.0,0.03798662609759242,0.0,0.0,216.0
165,0.605720337735378,30.46007714858274,32.0,74.0,0.6034161643591736,28.967574930643536,0.0,182.0,0.5242787523624786,-90.0,0.0,32.0
167,0.056780053570052835,38.391966970091175,0.0,123.0,0.0586411305214835,37.695435956273684,0.0,225.0,0.05946758208966964,37.27227509793593,0.0,173.0
169,0.00937692223105628,-90.0,10.0,147.0,0.04563822231153389,0.0,0.0,255.0,0.0424116369603923,0.0,0.0,219.0
173,0.035158502512566046,0.0,6.5,159.5,0.041278568274026706,-19.148945606334365,0.0,215.0,0.1118458163739148,54.193166720761766,0.0,245.5
175,0.009764703870141448,-90.0,7.0,255.0,0.010172922386124196,0.0,0.0,235.0,0.1347034028421399,-90.0,0.0,255.0
176,0.045401245217060494,-90.0,19.0,59.0,0.2978130942228277,-90.0,0.0,132.0,0.14308309991270848,-90.0,0.0,109.0
177,0.012429601188786242,0.0,19.0,170.0,0.01135957590852856,0.0,0.0,179.0,0.011411978286256532,0.0,0.0,226.0
