class,driver_channel,rank,freq,angle,coef,score
86,G,5,2.23606797749979,26.56505117707799,30.82109006432453,9.52424061503712
92,G,1,1.0,0.0,36.85641399730611,18.428206998653057
92,G,2,5.0990195135927845,11.309932474020213,97.29100079993216,15.951908431035728
92,G,3,6.0,0.0,95.63765030887265,13.662521472696094
92,G,4,5.830951894845301,59.03624346792648,-91.1239832329485,13.339866044395878
92,G,5,8.0,0.0,-109.87981962533365,12.208868847259295
96,G,1,1.0,0.0,-30.55433701036555,15.277168505182775
96,G,2,3.0,90.0,46.41566993951814,11.603917484879535
96,G,3,2.0,90.0,-31.875367125875883,10.62512237529196
96,G,4,4.0,90.0,53.01507047941781,10.603014095883562
96,G,5,1.4142135623730951,45.0,25.38119230081551,10.513234080197366
99,B,1,2.0,0.0,-1072.0975620994038,357.3658540331346
99,B,2,3.0,0.0,-617.3780900058391,154.34452250145978
99,B,3,1.0,0.0,303.0845904037407,151.54229520187036
99,B,4,3.1622776601683795,18.43494882292201,574.3289329947727,137.9842912669932
99,B,5,1.4142135623730951,45.0,-236.22947626489378,97.84945290121216
102,R,1,1.0,90.0,1179.4362507621975,589.7181253810987
102,R,2,1.0,0.0,1011.668321675483,505.8341608377415
102,R,3,2.0,0.0,-729.1666546511526,243.0555515503842
102,R,4,3.0,0.0,-963.0066369139989,240.75165922849973
102,R,5,2.23606797749979,63.43494882292201,592.2562598371409,183.01724931462115
103,G,1,1.0,90.0,272.7362441242366,136.3681220621183
103,G,2,2.0,90.0,-359.6993811118756,119.89979370395854
103,G,3,1.0,0.0,161.49697132545333,80.74848566272667
103,G,4,4.0,90.0,323.22303369094743,64.64460673818948
103,G,5,3.1622776601683795,71.56505117707799,-237.90809342969578,57.15815062180919
107,G,1,1.0,0.0,-115.1005983730852,57.5502991865426
107,G,2,1.0,90.0,-74.12657179059593,37.063285895297966
107,G,3,3.605551275463989,33.690067525979785,-134.91859006796295,29.29477536961533
107,G,4,3.605551275463989,56.309932474020215,-111.52196643492476,24.2146834905642
107,G,5,7.0710678118654755,45.0,136.95133775584367,16.968180784518765
120,G,1,1.0,90.0,-143.06120232927924,71.53060116463962
120,G,2,2.0,90.0,-196.84515266574343,65.61505088858114
120,G,3,2.23606797749979,63.43494882292201,187.78689799942603,58.02934280277746
120,G,4,2.8284271247461903,45.0,143.34990839389616,37.44355154818304
120,G,5,3.0,0.0,-139.1958466095188,34.7989616523797
124,G,1,1.0,90.0,-96.65672183403987,48.328360917019936
124,G,2,1.0,0.0,-65.45334215850025,32.726671079250124
124,G,3,3.605551275463989,56.309932474020215,-138.25234271028015,30.018630657054583
124,G,4,3.1622776601683795,71.56505117707799,-115.60148024373831,27.773610912603505
124,G,5,2.0,0.0,-77.347783348196,25.78259444939867
130,G,1,1.0,90.0,174.94447200170794,87.47223600085397
130,G,2,1.0,0.0,-170.6000437114979,85.30002185574895
130,G,3,2.0,90.0,181.6784248857527,60.559474961917566
130,G,4,1.4142135623730951,45.0,-88.65038219833416,36.720190616108404
130,G,5,3.0,0.0,130.68593819946412,32.67148454986603
132,G,1,1.0,90.0,-193.19782917970284,96.59891458985142
132,G,2,1.4142135623730951,45.0,-196.37409168045923,81.34081207274379
132,G,3,2.23606797749979,26.56505117707799,-150.6904891245468,46.56592203015815
132,G,4,2.0,90.0,-114.28917653686864,38.096392178956215
132,G,5,5.0990195135927845,78.69006752597979,192.45869618465736,31.55567804886143
134,G,1,5.0,0.0,451.2310970855143,75.20518284758572
134,G,2,3.0,0.0,-297.9157308171892,74.4789327042973
134,G,3,2.0,0.0,191.66588348074686,63.88862782691562
134,G,4,4.0,0.0,-297.5285395854521,59.50570791709042
134,G,5,1.0,90.0,90.9892680328705,45.49463401643525
135,G,1,1.0,0.0,-44.68230539511171,22.341152697555856
135,G,2,1.0,90.0,-43.55147384848552,21.77573692424276
135,G,3,2.0,90.0,52.56269120917009,17.520897069723365
135,G,4,2.0,0.0,-46.189351819926955,15.396450606642318
135,G,5,3.605551275463989,56.309932474020215,53.718314777207,11.663818631960646
