class,R_mean,G_mean,B_mean,R_contrast,G_contrast,B_contrast,shared_freq,shared_angle,curve_complexity
3,34.351502445842065,25.39308176100629,12.251921733053809,13.648497554157935,70.60691823899371,23.74807826694619,1.0,90.0,0.6118555828497068
13,45.262555066079294,27.49295154185022,28.74625550660793,44.737444933920706,66.50704845814978,66.8037444933918,2.0,0.0,0.7029162451926655
14,51.51087547580207,31.553289831430124,8.36568787384448,28.489124524197933,91.44671016856988,15.63431212615552,1.0,90.0,0.5782411226706798
15,29.741442542787286,23.358190709046454,8.64119804400978,18.258557457212714,64.89180929095355,12.60880195599022,1.0,90.0,0.6514215212663788
18,64.1235847769745,20.868503614786523,9.197517391897422,52.876415223025504,56.13149638521348,22.80248260810258,1.0,0.0,0.7739419841407373
19,40.35174013921114,24.591183294663573,8.435266821345708,30.648259860788862,61.40881670533643,14.564733178654292,1.0,90.0,0.7295610437930311
20,49.88278092158448,24.444624090541634,7.867421180274858,26.117219078415523,64.55537590945836,17.13257881972514,1.0,90.0,0.7156405261169748
21,47.50804289544236,27.099195710455763,8.82372654155496,28.491957104557642,64.90080428954424,17.626273458445084,2.0,0.0,0.7048721577000548
23,31.966131907308377,34.58288770053476,10.35650623885918,13.033868092691623,70.41711229946523,23.643493761140817,2.0,90.0,0.7431084574379949
24,41.20051413881748,31.825192802056556,10.394601542416453,28.799485861182518,77.47480719794339,15.755398457583524,1.0,90.0,0.4876499074035575
25,36.475895704370664,28.43125117238792,16.501406865503657,20.524104295629336,92.56874882761208,50.498593134496346,2.0,90.0,0.6355755401020042
27,105.5982404692082,21.19648093841642,7.13782991202346,35.40175953079179,67.80351906158359,7.86217008797654,1.0,0.0,0.6708084592013243
28,42.7196261682243,22.80373831775701,22.80607476635514,20.280373831775698,57.7962616822429,110.84392523364484,1.0,0.0,0.7397416241622244
31,47.17320913728099,24.751829673985362,8.162563761366156,32.82679086271901,62.24817032601464,12.437436238633298,1.0,90.0,0.466576955990874
34,80.63463687150838,27.95418994413408,12.09050279329609,82.66536312849158,73.04581005586593,25.209497206703865,1.0,0.0,0.6903678914267445
35,75.55846422338568,18.44153577661431,7.322862129144852,29.841535776614293,70.95846422338568,12.677137870855148,2.0,0.0,0.7182515845432507
