class,R_mean,R_contrast,G_mean,G_contrast,B_mean,B_contrast,shared_freq,shared_angle,curve_complexity,area_frac,aspect_ratio,fill_fraction
3,34.351502445842065,13.648497554157935,25.39308176100629,70.60691823899371,12.251921733053809,23.74807826694619,1.0,90.0,0.6118555828497068,0.0069873046875,0.7926829268292683,0.5369606003752345
13,45.262555066079294,44.737444933920706,27.49295154185022,66.50704845814978,28.74625550660793,66.8037444933918,2.0,0.0,0.7029162451926655,0.0055419921875,2.7027027027027026,0.6135135135135135
14,51.51087547580207,28.489124524197933,31.553289831430124,91.44671016856988,8.36568787384448,15.63431212615552,1.0,90.0,0.5782411226706798,0.0089794921875,0.5188679245283019,0.6308747855917667
15,29.741442542787286,18.258557457212714,23.358190709046454,64.89180929095355,8.64119804400978,12.60880195599022,1.0,90.0,0.6514215212663788,0.003994140625,0.8269230769230769,0.7316636851520573
18,64.1235847769745,52.876415223025504,20.868503614786523,56.13149638521348,9.197517391897422,22.80248260810258,1.0,0.0,0.7739419841407373,0.01789794921875,0.5595854922279793,0.35170792554212243
19,40.35174013921114,30.648259860788862,24.591183294663573,61.40881670533643,8.435266821345708,14.564733178654292,1.0,90.0,0.7295610437930311,0.00526123046875,0.782608695652174,0.5783682232957595
20,49.88278092158448,26.117219078415523,24.444624090541634,64.55537590945836,7.867421180274858,17.13257881972514,1.0,90.0,0.7156405261169748,0.00302001953125,0.31683168316831684,0.38273514851485146
21,47.50804289544236,28.491957104557642,27.099195710455763,64.90080428954424,8.82372654155496,17.626273458445084,2.0,0.0,0.7048721577000548,0.003642578125,2.5517241379310347,0.6952469711090401
23,31.966131907308377,13.033868092691623,34.58288770053476,70.41711229946523,10.35650623885918,23.643493761140817,2.0,90.0,0.7431084574379949,0.00136962890625,1.0,0.667063020214031
24,41.20051413881748,28.799485861182518,31.825192802056556,77.47480719794339,10.394601542416453,15.755398457583524,1.0,90.0,0.4876499074035575,0.0018994140625,0.9705882352941176,0.6934046345811051
25,36.475895704370664,20.524104295629336,28.43125117238792,92.56874882761208,16.501406865503657,50.498593134496346,2.0,90.0,0.6355755401020042,0.01301513671875,2.2816901408450705,0.4634846113719353
27,105.5982404692082,35.40175953079179,21.19648093841642,67.80351906158359,7.13782991202346,7.86217008797654,1.0,0.0,0.6708084592013243,0.00083251953125,0.6296296296296297,0.7429193899782135
28,42.7196261682243,20.280373831775698,22.80373831775701,57.7962616822429,22.80607476635514,110.84392523364484,1.0,0.0,0.7397416241622244,0.001044921875,1.1666666666666667,0.6369047619047619
31,47.17320913728099,32.82679086271901,24.751829673985362,62.24817032601464,8.162563761366156,12.437436238633298,1.0,90.0,0.466576955990874,0.01100830078125,2.3846153846153846,0.6992866004962779
34,80.63463687150838,82.66536312849158,27.95418994413408,73.04581005586593,12.09050279329609,25.209497206703865,1.0,0.0,0.6903678914267445,0.00218505859375,0.5,0.6138545953360768
35,75.55846422338568,29.841535776614293,18.44153577661431,70.95846422338568,7.322862129144852,12.677137870855148,2.0,0.0,0.7182515845432507,0.00139892578125,0.8333333333333334,0.2984375
37,36.21341463414634,21.436585365853638,16.222560975609756,42.427439024390225,50.2530487804878,155.99695121951208,1.0,0.0,0.5352469535176432,0.00080078125,1.3461538461538463,0.36043956043956044
38,55.99553470067358,45.00446529932642,16.72852493756149,53.27147506243851,10.426284719594339,24.57371528040566,1.0,90.0,0.6549394002100888,0.0645166015625,0.9155251141552512,0.15045719035743974
39,31.410712481051036,15.589287518948964,28.686508337544215,124.31349166245579,10.869226882263769,20.130773117736233,2.23606797749979,63.43494882292201,0.7312467645328387,0.02415771484375,2.2,0.40795712224283653
